date,T8,T9,T10,T11,source_file
2025-08-15 19:43:16.634,26.74,26.776,27.003,26.844,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:43:17.642,26.739,26.777,27.002,26.844,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:43:18.642,26.739,26.777,27.001,26.843,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:43:19.643,26.738,26.776,26.998,26.843,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:43:20.643,26.738,26.775,26.998,26.842,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:43:21.644,26.737,26.774,26.997,26.841,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:43:22.644,26.738,26.775,26.994,26.841,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:43:23.645,26.736,26.774,26.993,26.84,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:43:24.645,26.735,26.774,26.992,26.839,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:43:25.646,26.734,26.774,26.99,26.839,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:43:26.647,26.734,26.773,26.989,26.839,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:43:27.647,26.734,26.772,26.987,26.837,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:43:28.648,26.733,26.772,26.985,26.835,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:43:29.648,26.732,26.771,26.985,26.835,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:43:30.648,26.733,26.77,26.984,26.835,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:43:31.649,26.732,26.769,26.983,26.834,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:43:32.649,26.731,26.769,26.981,26.833,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:43:33.650,26.731,26.769,26.98,26.831,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:43:34.650,26.73,26.768,26.98,26.829,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:43:35.650,26.728,26.768,26.979,26.829,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:43:36.651,26.726,26.767,26.979,26.829,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:43:37.651,26.726,26.767,26.978,26.828,uploaded:Log_192.168.77.10_2025_08_15.txt
2025-08-15 19:43:38.652,26.726,26.767,26.976,26.827,uploaded:Log_192.168.77.10_2025_08_15.txt
